epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.262,1.43717,2.54915,1.22978,0.41732,0.72117,0.53271,0.30139,1.40541,1.87873,1.19692,0.000552711,0.000552711,0.000552711
2,264.613,1.46873,1.85056,1.23863,0.63647,0.68088,0.65891,0.39213,1.33955,1.77068,1.16256,0.00108643,0.00108643,0.00108643
3,395.95,1.44181,1.69229,1.22949,0.56611,0.66779,0.68786,0.40182,1.32986,1.64653,1.20731,0.00159815,0.00159815,0.00159815
4,527.804,1.41987,1.49893,1.22137,0.65829,0.79161,0.73139,0.41769,1.33694,1.28272,1.18376,0.00156798,0.00156798,0.00156798
5,660.737,1.44267,1.4768,1.23325,0.67509,0.76945,0.7813,0.46224,1.35334,1.22106,1.21322,0.00153497,0.00153497,0.00153497
6,796.461,1.46941,1.38962,1.24379,0.72543,0.80427,0.80359,0.46229,1.36324,1.12328,1.19491,0.00150197,0.00150197,0.00150197
7,932.854,1.39803,1.27741,1.19455,0.77492,0.75816,0.81025,0.48118,1.32456,1.03204,1.18329,0.00146896,0.00146896,0.00146896
8,1069.28,1.39465,1.21376,1.21015,0.69121,0.81181,0.75707,0.43758,1.31498,1.10713,1.18243,0.00143595,0.00143595,0.00143595
9,1204.93,1.35867,1.17417,1.18978,0.65077,0.74108,0.75589,0.43777,1.3032,1.07743,1.1748,0.00140295,0.00140295,0.00140295
10,1337.75,1.35247,1.11359,1.19794,0.78803,0.82286,0.84456,0.51044,1.27072,0.90301,1.15028,0.00136994,0.00136994,0.00136994
