epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,383.46,1.09918,0.66828,1.03706,0.921,0.91765,0.96624,0.70254,0.97541,0.50165,0.99675,0.000643101,0.000643101,0.000643101
43,392.494,1.11489,0.65064,1.04438,0.91171,0.94583,0.96747,0.6938,1.00056,0.50743,1.01067,0.000628101,0.000628101,0.000628101
44,401.562,1.07227,0.62546,1.03102,0.90516,0.94596,0.96823,0.69693,0.98619,0.49948,1.00478,0.000612981,0.000612981,0.000612981
45,410.977,1.07367,0.63808,1.03417,0.90087,0.94316,0.96739,0.69646,0.97593,0.50507,1.00109,0.000597754,0.000597754,0.000597754
46,420.483,1.06836,0.62901,1.02836,0.90371,0.94221,0.96939,0.71059,0.96109,0.49783,0.9927,0.000582435,0.000582435,0.000582435
47,430.158,1.06087,0.62544,1.02749,0.91256,0.94245,0.97213,0.71442,0.95799,0.48544,0.99207,0.00056704,0.00056704,0.00056704
48,439.597,1.09018,0.61635,1.03215,0.91907,0.93206,0.97318,0.71218,0.95709,0.50064,0.98964,0.000551584,0.000551584,0.000551584
49,449.133,1.06446,0.62224,1.03622,0.91847,0.94232,0.96986,0.71501,0.942,0.47367,0.98646,0.000536081,0.000536081,0.000536081
50,458.439,1.04947,0.62617,1.01425,0.92117,0.94724,0.97403,0.71349,0.95189,0.49196,0.98582,0.000520548,0.000520548,0.000520548
51,467.764,1.04786,0.62524,1.03554,0.92292,0.9324,0.971,0.71862,0.9379,0.47699,0.99046,0.000505,0.000505,0.000505
52,476.919,1.04538,0.60648,1.01502,0.92246,0.94634,0.96898,0.71502,0.92774,0.46811,0.98503,0.000489452,0.000489452,0.000489452
53,485.895,1.04523,0.62617,1.03449,0.93172,0.94544,0.97289,0.72387,0.90704,0.45667,0.97922,0.000473919,0.000473919,0.000473919
54,495.087,1.03673,0.59174,1.01151,0.91748,0.94535,0.97359,0.72368,0.92689,0.4657,0.97671,0.000458416,0.000458416,0.000458416
55,504.241,0.9824,0.57173,0.97753,0.93321,0.94165,0.97602,0.72798,0.91639,0.44681,0.97571,0.00044296,0.00044296,0.00044296
56,513.3,1.03017,0.56854,1.00664,0.91478,0.95755,0.97361,0.72635,0.92641,0.45833,0.97182,0.000427565,0.000427565,0.000427565
57,522.593,1.0186,0.59028,1.00384,0.91188,0.95809,0.975,0.72985,0.93164,0.45489,0.9763,0.000412246,0.000412246,0.000412246
58,531.674,1.00821,0.57191,1.00518,0.93324,0.95811,0.9802,0.74051,0.89126,0.43623,0.96849,0.000397019,0.000397019,0.000397019
59,540.698,0.98383,0.55364,1.00948,0.9199,0.96457,0.98055,0.75315,0.86212,0.42956,0.95724,0.000381899,0.000381899,0.000381899
60,549.711,0.99611,0.59821,0.99845,0.93551,0.96495,0.98122,0.75351,0.84729,0.422,0.95379,0.000366899,0.000366899,0.000366899
61,558.709,0.9859,0.56388,1.0006,0.92446,0.9533,0.97882,0.74738,0.85805,0.43442,0.95804,0.000352037,0.000352037,0.000352037
62,567.766,1.01167,0.56482,1.00642,0.94183,0.95755,0.98342,0.74354,0.87305,0.42214,0.9627,0.000337325,0.000337325,0.000337325
63,576.76,0.95849,0.54132,0.9914,0.94094,0.95658,0.98044,0.75579,0.83283,0.41098,0.94637,0.000322778,0.000322778,0.000322778
64,585.802,0.96654,0.54931,0.99009,0.95025,0.93748,0.98142,0.76182,0.81301,0.41072,0.94227,0.000308412,0.000308412,0.000308412
65,594.996,0.95902,0.53867,0.98242,0.94525,0.95597,0.98176,0.77079,0.80314,0.39776,0.93595,0.000294239,0.000294239,0.000294239
66,604.069,0.93622,0.53797,0.98183,0.94772,0.95625,0.98095,0.76334,0.81634,0.40577,0.93761,0.000280275,0.000280275,0.000280275
67,612.938,0.95308,0.54556,0.99882,0.9387,0.96303,0.9809,0.76816,0.81009,0.40211,0.935,0.000266532,0.000266532,0.000266532
68,621.854,0.92908,0.53497,0.98233,0.93817,0.95445,0.98138,0.76806,0.80928,0.40024,0.93761,0.000253024,0.000253024,0.000253024
69,630.867,0.93017,0.52227,0.98051,0.93754,0.96698,0.98226,0.77633,0.78619,0.39351,0.9284,0.000239766,0.000239766,0.000239766
70,640.051,0.93623,0.52064,0.98453,0.94935,0.95649,0.98252,0.77902,0.78694,0.39282,0.92836,0.000226769,0.000226769,0.000226769
71,649.096,0.9436,0.52648,0.98754,0.95095,0.95575,0.98504,0.7721,0.79932,0.39188,0.93329,0.000214046,0.000214046,0.000214046
72,658.132,0.91953,0.51281,0.98333,0.94981,0.95918,0.98282,0.78244,0.77428,0.38233,0.92472,0.000201611,0.000201611,0.000201611
73,667.352,0.9366,0.52973,0.97717,0.93579,0.9718,0.9828,0.78295,0.76328,0.38103,0.92083,0.000189475,0.000189475,0.000189475
74,676.445,0.90275,0.51909,0.97557,0.94171,0.96691,0.98355,0.78104,0.78282,0.38162,0.927,0.000177651,0.000177651,0.000177651
75,685.482,0.88657,0.49771,0.96342,0.94817,0.96073,0.98512,0.78905,0.76501,0.3757,0.91968,0.000166149,0.000166149,0.000166149
76,694.43,0.8936,0.48392,0.97356,0.94771,0.96901,0.98646,0.78586,0.75856,0.37621,0.91895,0.000154982,0.000154982,0.000154982
77,703.473,0.90335,0.50153,0.98095,0.94154,0.97079,0.98504,0.79399,0.74689,0.36737,0.91313,0.000144161,0.000144161,0.000144161
78,712.552,0.86152,0.49126,0.95693,0.94142,0.97042,0.98475,0.79025,0.75093,0.37209,0.91582,0.000133695,0.000133695,0.000133695
79,721.519,0.88321,0.49767,0.96503,0.94743,0.96842,0.98636,0.79678,0.73499,0.36532,0.91007,0.000123596,0.000123596,0.000123596
80,730.503,0.88001,0.48381,0.96515,0.94672,0.96801,0.98713,0.79968,0.72773,0.3593,0.90708,0.000113873,0.000113873,0.000113873
81,766.484,0.87159,0.46474,0.96586,0.94324,0.96533,0.98619,0.78805,0.75527,0.37743,0.91473,0.000104537,0.000104537,0.000104537
82,775.462,0.84535,0.44206,0.94927,0.94447,0.96557,0.98578,0.79017,0.74979,0.36972,0.91429,9.55951e-05,9.55951e-05,9.55951e-05
83,784.389,0.83186,0.42398,0.95858,0.93987,0.97484,0.98639,0.78754,0.75432,0.3708,0.91661,8.70577e-05,8.70577e-05,8.70577e-05
84,793.336,0.82447,0.42245,0.95579,0.94034,0.97653,0.98693,0.78768,0.75699,0.36733,0.91774,7.89327e-05,7.89327e-05,7.89327e-05
85,802.313,0.81809,0.41857,0.94428,0.93948,0.97557,0.98677,0.7914,0.73964,0.36051,0.9113,7.12282e-05,7.12282e-05,7.12282e-05
86,811.214,0.82749,0.41979,0.95223,0.94207,0.97184,0.98718,0.79326,0.72998,0.35958,0.90822,6.39518e-05,6.39518e-05,6.39518e-05
87,820.135,0.824,0.42033,0.93218,0.94936,0.96794,0.98758,0.79651,0.72696,0.35828,0.90742,5.71106e-05,5.71106e-05,5.71106e-05
88,829.055,0.82066,0.41339,0.95449,0.95359,0.96787,0.98778,0.79741,0.72657,0.35529,0.90713,5.07115e-05,5.07115e-05,5.07115e-05
89,837.984,0.81453,0.40638,0.9366,0.94868,0.97086,0.98819,0.80592,0.7182,0.35138,0.90403,4.47606e-05,4.47606e-05,4.47606e-05
90,847.216,0.80056,0.41177,0.93657,0.94904,0.97044,0.98856,0.80577,0.70948,0.34889,0.90108,3.9264e-05,3.9264e-05,3.9264e-05
91,856.214,0.80731,0.40061,0.93125,0.94937,0.97043,0.98828,0.8068,0.70934,0.34848,0.90168,3.4227e-05,3.4227e-05,3.4227e-05
92,865.151,0.79251,0.43536,0.94401,0.9428,0.97559,0.98804,0.81039,0.70348,0.34659,0.89908,2.96546e-05,2.96546e-05,2.96546e-05
93,874.032,0.79233,0.39663,0.93522,0.94639,0.97282,0.9881,0.80711,0.70404,0.34626,0.90011,2.55513e-05,2.55513e-05,2.55513e-05
94,883.102,0.77598,0.40697,0.9284,0.94523,0.97422,0.98798,0.8097,0.7025,0.34599,0.89999,2.19212e-05,2.19212e-05,2.19212e-05
95,892.291,0.78289,0.39188,0.94438,0.94694,0.97215,0.98817,0.80945,0.70147,0.34481,0.89959,1.87678e-05,1.87678e-05,1.87678e-05
96,901.518,0.80911,0.40806,0.95288,0.95424,0.96549,0.98833,0.80839,0.70366,0.34486,0.90029,1.60943e-05,1.60943e-05,1.60943e-05
97,910.684,0.78088,0.38873,0.93648,0.95675,0.9622,0.98815,0.80974,0.70248,0.3448,0.8997,1.39032e-05,1.39032e-05,1.39032e-05
98,920.633,0.78128,0.39824,0.93879,0.95056,0.96602,0.98836,0.81183,0.6994,0.34467,0.89844,1.21968e-05,1.21968e-05,1.21968e-05
99,930.221,0.80569,0.40001,0.93495,0.94991,0.96922,0.98846,0.81212,0.69641,0.34321,0.8977,1.09768e-05,1.09768e-05,1.09768e-05
100,939.587,0.77976,0.40084,0.92819,0.94897,0.97172,0.98847,0.81296,0.69507,0.34266,0.89734,1.02443e-05,1.02443e-05,1.02443e-05
