epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.10729,1.53864,5.62742,1.40292,0.00088,0.33333,0.00103,0.00031,1.21524,4.83441,1.42558,1.667e-05,1.667e-05,1.667e-05
2,2.17982,1.66799,4.68109,1.34784,0.00089,0.33333,0.00108,0.00032,1.19335,4.76577,1.39685,4.90198e-05,4.90198e-05,4.90198e-05
3,3.28215,1.9602,4.46597,1.41809,0.00089,0.33333,0.0011,0.00044,1.17809,4.66004,1.33923,8.00493e-05,8.00493e-05,8.00493e-05
4,4.36948,2.58988,6.98729,2.1808,0.00237,0.66667,0.00245,0.00173,1.34302,4.65752,1.37403,0.000109759,0.000109759,0.000109759
5,5.45233,1.44088,4.63624,1.17442,0.00233,0.66667,0.00246,0.00173,1.5412,4.60197,1.36754,0.000138148,0.000138148,0.000138148
6,6.59018,1.45792,4.93771,1.26306,0.00233,0.66667,0.00246,0.00173,1.5412,4.60197,1.36754,0.000165216,0.000165216,0.000165216
7,7.67069,1.26528,4.87924,1.15526,0.00234,0.66667,0.00252,0.00176,1.60015,4.49744,1.35492,0.000190965,0.000190965,0.000190965
8,8.72735,2.13752,4.96723,1.7439,0.00231,0.66667,0.00255,0.00179,1.55069,4.4644,1.33877,0.000215393,0.000215393,0.000215393
9,9.75546,1.34032,5.80915,1.02443,0.00231,0.66667,0.00255,0.00179,1.55069,4.4644,1.33877,0.000238501,0.000238501,0.000238501
10,10.8165,0.81266,4.09333,0.83971,0.00226,0.66667,0.00265,0.00186,1.46232,4.40175,1.29851,0.000260289,0.000260289,0.000260289
11,11.8465,1.83349,4.64278,1.376,0.00226,0.66667,0.00265,0.00186,1.46232,4.40175,1.29851,0.000280756,0.000280756,0.000280756
12,12.9124,1.29639,3.82338,1.19513,0.00225,0.66667,0.00272,0.00203,1.43707,4.40245,1.30992,0.000299903,0.000299903,0.000299903
13,13.9693,1.25677,4.31344,1.19766,0.00225,0.66667,0.00272,0.00203,1.43707,4.40245,1.30992,0.00031773,0.00031773,0.00031773
14,15.0409,1.74038,4.61685,1.61489,0.00225,0.66667,0.00272,0.00203,1.43707,4.40245,1.30992,0.000334237,0.000334237,0.000334237
15,16.0693,1.54842,4.8284,1.12401,0.00223,0.66667,0.00267,0.00201,1.39764,4.35091,1.28874,0.000349423,0.000349423,0.000349423
16,17.1173,1.08156,2.34877,0.91836,0.00223,0.66667,0.00267,0.00201,1.39764,4.35091,1.28874,0.000363289,0.000363289,0.000363289
17,18.1794,1.05568,2.69641,0.92524,0.00223,0.66667,0.00267,0.00201,1.39764,4.35091,1.28874,0.000375835,0.000375835,0.000375835
18,19.176,1.43096,3.33933,1.15679,0.00222,0.66667,0.00274,0.00219,1.29639,4.37405,1.26799,0.000387061,0.000387061,0.000387061
19,20.1769,1.02092,3.10001,1.05182,0.00222,0.66667,0.00274,0.00219,1.29639,4.37405,1.26799,0.000396966,0.000396966,0.000396966
20,21.2074,1.60694,3.0837,1.24027,0.00222,0.66667,0.00274,0.00219,1.29639,4.37405,1.26799,0.000405551,0.000405551,0.000405551
21,22.1924,1.03592,3.28879,0.96916,0.00222,0.66667,0.00264,0.00224,1.12129,4.31696,1.16921,0.000412816,0.000412816,0.000412816
22,23.1923,1.08093,2.87152,1.01122,0.00222,0.66667,0.00264,0.00224,1.12129,4.31696,1.16921,0.00041876,0.00041876,0.00041876
23,24.1956,1.1369,3.4886,0.92275,0.00222,0.66667,0.00264,0.00224,1.12129,4.31696,1.16921,0.000423385,0.000423385,0.000423385
24,25.2063,1.24842,3.23113,1.11388,0.00222,0.66667,0.00264,0.00224,1.12129,4.31696,1.16921,0.000426689,0.000426689,0.000426689
25,26.2524,0.93829,2.43287,0.93842,0.00222,0.66667,0.00247,0.0021,1.01296,4.25446,1.10623,0.000428672,0.000428672,0.000428672
26,27.2302,1.28984,6.11184,1.24937,0.00222,0.66667,0.00247,0.0021,1.01296,4.25446,1.10623,0.000429336,0.000429336,0.000429336
27,28.2294,1.43916,3.83992,1.342,0.00222,0.66667,0.00247,0.0021,1.01296,4.25446,1.10623,0.000428679,0.000428679,0.000428679
28,29.325,0.97197,2.78906,1.01882,0.00222,0.66667,0.00247,0.0021,1.01296,4.25446,1.10623,0.000426702,0.000426702,0.000426702
29,30.3667,1.48417,3.90528,1.35659,0.00222,0.66667,0.00247,0.0021,1.01296,4.25446,1.10623,0.000423405,0.000423405,0.000423405
30,31.43,1.02182,2.79609,0.99568,0.00281,0.83333,0.00305,0.00219,1.00315,4.05118,1.04218,0.000418787,0.000418787,0.000418787
31,32.4438,0.95818,3.7547,0.99435,0.00281,0.83333,0.00305,0.00219,1.00315,4.05118,1.04218,0.000412849,0.000412849,0.000412849
